row_idx,tweet,gt_target,gt_stance,gt_prediction,similar_target,sim_prediction,ESS,CED,TFR
18,"Children do not need distinct male and female parental role-models What children need first is love, compassion, and care from their parents. In addition, children are highly influenced by their social environment as much as their parents, making it unreasonable to place such a high importance on the attributes that parents display.",gay rights,FAVOR,AGAINST,Traditional family structure,AGAINST,0.0,1.0,0.0
18,"Children do not need distinct male and female parental role-models What children need first is love, compassion, and care from their parents. In addition, children are highly influenced by their social environment as much as their parents, making it unreasonable to place such a high importance on the attributes that parents display.",gay rights,FAVOR,AGAINST,love,AGAINST,0.0,1.0,0.0
18,"Children do not need distinct male and female parental role-models What children need first is love, compassion, and care from their parents. In addition, children are highly influenced by their social environment as much as their parents, making it unreasonable to place such a high importance on the attributes that parents display.",gay rights,FAVOR,AGAINST,children,AGAINST,0.0,1.0,0.0
19,"Children do not need distinct male and female parental role-models What children need first is love, compassion, and care from their parents. In addition, children are highly influenced by their social environment as much as their parents, making it unreasonable to place such a high importance on the attributes that parents display.",gay rights,FAVOR,AGAINST,Traditional family structure,AGAINST,0.0,1.0,0.0
19,"Children do not need distinct male and female parental role-models What children need first is love, compassion, and care from their parents. In addition, children are highly influenced by their social environment as much as their parents, making it unreasonable to place such a high importance on the attributes that parents display.",gay rights,FAVOR,AGAINST,parents,AGAINST,0.0,1.0,0.0
19,"Children do not need distinct male and female parental role-models What children need first is love, compassion, and care from their parents. In addition, children are highly influenced by their social environment as much as their parents, making it unreasonable to place such a high importance on the attributes that parents display.",gay rights,FAVOR,AGAINST,children,AGAINST,0.0,1.0,0.0
20,"Children do not need distinct male and female parental role-models What children need first is love, compassion, and care from their parents. In addition, children are highly influenced by their social environment as much as their parents, making it unreasonable to place such a high importance on the attributes that parents display.",gay rights,FAVOR,AGAINST,Traditional family structure,AGAINST,0.0,1.0,0.0
20,"Children do not need distinct male and female parental role-models What children need first is love, compassion, and care from their parents. In addition, children are highly influenced by their social environment as much as their parents, making it unreasonable to place such a high importance on the attributes that parents display.",gay rights,FAVOR,AGAINST,parents,AGAINST,0.0,1.0,0.0
20,"Children do not need distinct male and female parental role-models What children need first is love, compassion, and care from their parents. In addition, children are highly influenced by their social environment as much as their parents, making it unreasonable to place such a high importance on the attributes that parents display.",gay rights,FAVOR,AGAINST,children,AGAINST,0.0,1.0,0.0
21,"Children do not need distinct male and female parental role-models What children need first is love, compassion, and care from their parents. In addition, children are highly influenced by their social environment as much as their parents, making it unreasonable to place such a high importance on the attributes that parents display.",gay rights,FAVOR,AGAINST,Traditional Family Structure,AGAINST,0.0,1.0,0.0
21,"Children do not need distinct male and female parental role-models What children need first is love, compassion, and care from their parents. In addition, children are highly influenced by their social environment as much as their parents, making it unreasonable to place such a high importance on the attributes that parents display.",gay rights,FAVOR,AGAINST,love,AGAINST,0.0,1.0,0.0
21,"Children do not need distinct male and female parental role-models What children need first is love, compassion, and care from their parents. In addition, children are highly influenced by their social environment as much as their parents, making it unreasonable to place such a high importance on the attributes that parents display.",gay rights,FAVOR,AGAINST,children,AGAINST,0.0,1.0,0.0
22,"Children do not need distinct male and female parental role-models What children need first is love, compassion, and care from their parents. In addition, children are highly influenced by their social environment as much as their parents, making it unreasonable to place such a high importance on the attributes that parents display.",gay rights,FAVOR,AGAINST,Traditional Family Structure,AGAINST,0.0,1.0,0.0
22,"Children do not need distinct male and female parental role-models What children need first is love, compassion, and care from their parents. In addition, children are highly influenced by their social environment as much as their parents, making it unreasonable to place such a high importance on the attributes that parents display.",gay rights,FAVOR,AGAINST,love,AGAINST,0.0,1.0,0.0
22,"Children do not need distinct male and female parental role-models What children need first is love, compassion, and care from their parents. In addition, children are highly influenced by their social environment as much as their parents, making it unreasonable to place such a high importance on the attributes that parents display.",gay rights,FAVOR,AGAINST,children,AGAINST,0.0,1.0,0.0
23,"Children do not need distinct male and female parental role-models What children need first is love, compassion, and care from their parents. In addition, children are highly influenced by their social environment as much as their parents, making it unreasonable to place such a high importance on the attributes that parents display.",gay rights,FAVOR,AGAINST,Traditional Family Structure,AGAINST,0.0,1.0,0.0
23,"Children do not need distinct male and female parental role-models What children need first is love, compassion, and care from their parents. In addition, children are highly influenced by their social environment as much as their parents, making it unreasonable to place such a high importance on the attributes that parents display.",gay rights,FAVOR,AGAINST,parents,AGAINST,0.0,1.0,0.0
23,"Children do not need distinct male and female parental role-models What children need first is love, compassion, and care from their parents. In addition, children are highly influenced by their social environment as much as their parents, making it unreasonable to place such a high importance on the attributes that parents display.",gay rights,FAVOR,AGAINST,children,AGAINST,0.0,1.0,0.0
24,"Children do not need distinct male and female parental role-models What children need first is love, compassion, and care from their parents. In addition, children are highly influenced by their social environment as much as their parents, making it unreasonable to place such a high importance on the attributes that parents display.",gay rights,FAVOR,AGAINST,Traditional Family Structure,AGAINST,0.0,1.0,0.0
24,"Children do not need distinct male and female parental role-models What children need first is love, compassion, and care from their parents. In addition, children are highly influenced by their social environment as much as their parents, making it unreasonable to place such a high importance on the attributes that parents display.",gay rights,FAVOR,AGAINST,parents,AGAINST,0.0,1.0,0.0
24,"Children do not need distinct male and female parental role-models What children need first is love, compassion, and care from their parents. In addition, children are highly influenced by their social environment as much as their parents, making it unreasonable to place such a high importance on the attributes that parents display.",gay rights,FAVOR,AGAINST,children,AGAINST,0.0,1.0,0.0
25,"Children do not need distinct male and female parental role-models What children need first is love, compassion, and care from their parents. In addition, children are highly influenced by their social environment as much as their parents, making it unreasonable to place such a high importance on the attributes that parents display.",gay rights,FAVOR,AGAINST,Traditional family structure,AGAINST,0.0,1.0,0.0
25,"Children do not need distinct male and female parental role-models What children need first is love, compassion, and care from their parents. In addition, children are highly influenced by their social environment as much as their parents, making it unreasonable to place such a high importance on the attributes that parents display.",gay rights,FAVOR,AGAINST,love,AGAINST,0.0,1.0,0.0
25,"Children do not need distinct male and female parental role-models What children need first is love, compassion, and care from their parents. In addition, children are highly influenced by their social environment as much as their parents, making it unreasonable to place such a high importance on the attributes that parents display.",gay rights,FAVOR,AGAINST,children,AGAINST,0.0,1.0,0.0
26,"Children do not need distinct male and female parental role-models What children need first is love, compassion, and care from their parents. In addition, children are highly influenced by their social environment as much as their parents, making it unreasonable to place such a high importance on the attributes that parents display.",gay rights,FAVOR,AGAINST,Traditional family structure,AGAINST,0.0,1.0,0.0
26,"Children do not need distinct male and female parental role-models What children need first is love, compassion, and care from their parents. In addition, children are highly influenced by their social environment as much as their parents, making it unreasonable to place such a high importance on the attributes that parents display.",gay rights,FAVOR,AGAINST,love,AGAINST,0.0,1.0,0.0
26,"Children do not need distinct male and female parental role-models What children need first is love, compassion, and care from their parents. In addition, children are highly influenced by their social environment as much as their parents, making it unreasonable to place such a high importance on the attributes that parents display.",gay rights,FAVOR,AGAINST,children,AGAINST,0.0,1.0,0.0
27,"Children do not need distinct male and female parental role-models What children need first is love, compassion, and care from their parents. In addition, children are highly influenced by their social environment as much as their parents, making it unreasonable to place such a high importance on the attributes that parents display.",gay rights,FAVOR,AGAINST,Traditional family structure,AGAINST,0.0,1.0,0.0
27,"Children do not need distinct male and female parental role-models What children need first is love, compassion, and care from their parents. In addition, children are highly influenced by their social environment as much as their parents, making it unreasonable to place such a high importance on the attributes that parents display.",gay rights,FAVOR,AGAINST,parents,AGAINST,0.0,1.0,0.0
27,"Children do not need distinct male and female parental role-models What children need first is love, compassion, and care from their parents. In addition, children are highly influenced by their social environment as much as their parents, making it unreasonable to place such a high importance on the attributes that parents display.",gay rights,FAVOR,AGAINST,children,AGAINST,0.0,1.0,0.0
28,"Children do not need distinct male and female parental role-models What children need first is love, compassion, and care from their parents. In addition, children are highly influenced by their social environment as much as their parents, making it unreasonable to place such a high importance on the attributes that parents display.",gay rights,FAVOR,AGAINST,Traditional family structure,AGAINST,0.0,1.0,0.0
28,"Children do not need distinct male and female parental role-models What children need first is love, compassion, and care from their parents. In addition, children are highly influenced by their social environment as much as their parents, making it unreasonable to place such a high importance on the attributes that parents display.",gay rights,FAVOR,AGAINST,parents,AGAINST,0.0,1.0,0.0
28,"Children do not need distinct male and female parental role-models What children need first is love, compassion, and care from their parents. In addition, children are highly influenced by their social environment as much as their parents, making it unreasonable to place such a high importance on the attributes that parents display.",gay rights,FAVOR,AGAINST,children,AGAINST,0.0,1.0,0.0
29,"Did you really just say that no scientist can support evolution? The theory of evolution came about from scientific discovery, so your statement makes hardly any sense.",creationism,AGAINST,AGAINST,Theory of Evolution,AGAINST,0.0,1.0,0.0
29,"Did you really just say that no scientist can support evolution? The theory of evolution came about from scientific discovery, so your statement makes hardly any sense.",creationism,AGAINST,AGAINST,evolution,AGAINST,0.0,1.0,0.0
29,"Did you really just say that no scientist can support evolution? The theory of evolution came about from scientific discovery, so your statement makes hardly any sense.",creationism,AGAINST,AGAINST,Evolution,AGAINST,0.0,1.0,0.0
30,"Evolution is completely true, Darwin hit the nail right on the head when he defined the theory of evolution and the survival of the fittest understanding. Fossils should be enough proof for everyone to see that evolution is true",creationism,AGAINST,AGAINST,Evolution,AGAINST,0.0,1.0,0.0
30,"Evolution is completely true, Darwin hit the nail right on the head when he defined the theory of evolution and the survival of the fittest understanding. Fossils should be enough proof for everyone to see that evolution is true",creationism,AGAINST,AGAINST,evolution,AGAINST,0.0,1.0,0.0
30,"Evolution is completely true, Darwin hit the nail right on the head when he defined the theory of evolution and the survival of the fittest understanding. Fossils should be enough proof for everyone to see that evolution is true",creationism,AGAINST,AGAINST,evolution,AGAINST,0.0,1.0,0.0
31,"Evolution is correct. And any Christian trying to claim that it is not, invariably bases their arguments on a single book that cannot be verified. And of course some scientists claim that Evolution is incorrect, but then again some people claim to be able to talk to the dead.",creationism,AGAINST,AGAINST,Christianity,AGAINST,0.0,1.0,0.0
31,"Evolution is correct. And any Christian trying to claim that it is not, invariably bases their arguments on a single book that cannot be verified. And of course some scientists claim that Evolution is incorrect, but then again some people claim to be able to talk to the dead.",creationism,AGAINST,AGAINST,Evolution,AGAINST,0.0,1.0,0.0
31,"Evolution is correct. And any Christian trying to claim that it is not, invariably bases their arguments on a single book that cannot be verified. And of course some scientists claim that Evolution is incorrect, but then again some people claim to be able to talk to the dead.",creationism,AGAINST,AGAINST,Evolution,AGAINST,0.0,1.0,0.0
32,Evolution is defined in Wikipedia as a change in the inherited traits of a population from one generation to the next . You refer to the scientific model of evolution which is based on biology - can't see why everyone's jumped on the religion bandwagon by assuming that you are talking about Darwin's Theory of Evolution. So no I disagree that evolution is bad - and if you believe that it is bad why are you using the Internet rather than reverting to the unevolved practices of our ancestors?,creationism,AGAINST,AGAINST,Unknown,AGAINST,0.0,1.0,0.0
32,Evolution is defined in Wikipedia as a change in the inherited traits of a population from one generation to the next . You refer to the scientific model of evolution which is based on biology - can't see why everyone's jumped on the religion bandwagon by assuming that you are talking about Darwin's Theory of Evolution. So no I disagree that evolution is bad - and if you believe that it is bad why are you using the Internet rather than reverting to the unevolved practices of our ancestors?,creationism,AGAINST,AGAINST,evolution,AGAINST,0.0,1.0,0.0
32,Evolution is defined in Wikipedia as a change in the inherited traits of a population from one generation to the next . You refer to the scientific model of evolution which is based on biology - can't see why everyone's jumped on the religion bandwagon by assuming that you are talking about Darwin's Theory of Evolution. So no I disagree that evolution is bad - and if you believe that it is bad why are you using the Internet rather than reverting to the unevolved practices of our ancestors?,creationism,AGAINST,AGAINST,Evolution,AGAINST,0.0,1.0,0.0
33,"Evolution is just logic. The individuals with better characteristics survive more often, so they are passed on. This causes species to change, but not all at once, and because the others are not completely unfit for survival they survive as well.",creationism,AGAINST,AGAINST,Evolution,AGAINST,0.0,1.0,0.0
33,"Evolution is just logic. The individuals with better characteristics survive more often, so they are passed on. This causes species to change, but not all at once, and because the others are not completely unfit for survival they survive as well.",creationism,AGAINST,AGAINST,evolution,AGAINST,0.0,1.0,0.0
33,"Evolution is just logic. The individuals with better characteristics survive more often, so they are passed on. This causes species to change, but not all at once, and because the others are not completely unfit for survival they survive as well.",creationism,AGAINST,AGAINST,Evolution,AGAINST,0.0,1.0,0.0
34,"Evolution is simply the genetic change in populations of organisms over successive generations. So are you saying that you are genetically identical to your parents, your grandparents, and your neighbors? Exactly how and why these changes take place is subject to debate I suppose, but to suggest it does not exist is just denying the evidence of genetic diversity you see, with your own eyes, all around you every day.",creationism,AGAINST,AGAINST,Evolution,AGAINST,0.0,1.0,0.0
34,"Evolution is simply the genetic change in populations of organisms over successive generations. So are you saying that you are genetically identical to your parents, your grandparents, and your neighbors? Exactly how and why these changes take place is subject to debate I suppose, but to suggest it does not exist is just denying the evidence of genetic diversity you see, with your own eyes, all around you every day.",creationism,AGAINST,AGAINST,genetic diversity,AGAINST,0.0,1.0,0.0
34,"Evolution is simply the genetic change in populations of organisms over successive generations. So are you saying that you are genetically identical to your parents, your grandparents, and your neighbors? Exactly how and why these changes take place is subject to debate I suppose, but to suggest it does not exist is just denying the evidence of genetic diversity you see, with your own eyes, all around you every day.",creationism,AGAINST,AGAINST,genetic change,AGAINST,0.0,1.0,0.0
35,"Evolution is the real deal. We have fossil evidence and DNA to strongly back it up. By using forensics, we can determine what happened in the past without having to physically be there. Like a detective. But there is no need to be threatened by Evolution. The theory does not eliminate God or Gods from the picture.",creationism,AGAINST,AGAINST,Evolution,AGAINST,0.0,1.0,0.0
35,"Evolution is the real deal. We have fossil evidence and DNA to strongly back it up. By using forensics, we can determine what happened in the past without having to physically be there. Like a detective. But there is no need to be threatened by Evolution. The theory does not eliminate God or Gods from the picture.",creationism,AGAINST,AGAINST,Evolution,AGAINST,0.0,1.0,0.0
35,"Evolution is the real deal. We have fossil evidence and DNA to strongly back it up. By using forensics, we can determine what happened in the past without having to physically be there. Like a detective. But there is no need to be threatened by Evolution. The theory does not eliminate God or Gods from the picture.",creationism,AGAINST,AGAINST,Evolution,AGAINST,0.0,1.0,0.0
36,"Genetic tests have proven that we are very closely related to certain apes- a branch on the same family tree. A proven fact is just that, a fact, and isn't wrong.",creationism,AGAINST,AGAINST,Evolution,AGAINST,0.0,1.0,0.0
36,"Genetic tests have proven that we are very closely related to certain apes- a branch on the same family tree. A proven fact is just that, a fact, and isn't wrong.",creationism,AGAINST,AGAINST,genetic tests,AGAINST,0.0,1.0,0.0
36,"Genetic tests have proven that we are very closely related to certain apes- a branch on the same family tree. A proven fact is just that, a fact, and isn't wrong.",creationism,AGAINST,AGAINST,apes,AGAINST,0.0,1.0,0.0
37,Go read On the Origin of Species . I need not make a point of my own!,creationism,AGAINST,AGAINST,On the Origin of Species,AGAINST,0.0,1.0,0.0
37,Go read On the Origin of Species . I need not make a point of my own!,creationism,AGAINST,AGAINST,On the Origin of Species,AGAINST,0.0,1.0,0.0
37,Go read On the Origin of Species . I need not make a point of my own!,creationism,AGAINST,AGAINST,On the Origin of Species,AGAINST,0.0,1.0,0.0
