gt_target,ESS,CED,TFR
child education,0.0,1.0,0.0
childbirth,0.0,1.0,0.0
childcare,0.0,1.0,0.0
childhood survival,0.0,1.0,0.0
children's education,0.0,1.0,0.0
chirstianity,0.0,1.0,0.0
choice,0.0,1.0,0.0
capital gains,0.0,1.0,0.0
capitalism,0.0,1.0,0.0
career aspirations,0.0,1.0,0.0
carry weapons,0.0,1.0,0.0
casino's,0.0,1.0,0.0
casinos,0.0,1.0,0.0
celebrity,0.0,1.0,0.0
censorship,0.0,1.0,0.0
bully,0.0,1.0,0.0
bullying/humiliation,0.0,1.0,0.0
business,0.0,1.0,0.0
c-section,0.0,1.0,0.0
california,0.0,1.0,0.0
cameras,0.0,1.0,0.0
campus,0.0,1.0,0.0
candidate 's spouse,0.0,1.0,0.0
court stenographers,0.0,1.0,0.0
creationism,0.0,1.0,0.0
crime,0.0,1.0,0.0
criminal,0.0,1.0,0.0
criticism of authority,0.0,1.0,0.0
culture,0.0,1.0,0.0
culture division,0.0,1.0,0.0
current state of affairs,0.0,1.0,0.0
continuing education,0.0,1.0,0.0
control,0.0,1.0,0.0
cook,0.0,1.0,0.0
corporatation,0.0,1.0,0.0
corporate greed,0.0,1.0,0.0
corporate owned media,0.0,1.0,0.0
corruption,0.0,1.0,0.0
cost of education,0.0,1.0,0.0
comment sections,0.0,1.0,0.1429
communication,0.0,1.0,0.0
companies,0.0,1.0,0.0238
complete privacy for children,0.0,1.0,0.0
computer-generated imagery,0.0,1.0,0.0
conscientious objection,0.0,1.0,0.0
consumerism,0.0,1.0,0.0
consumers,0.0,1.0,0.0
co-op accomodations,0.0,1.0,0.0
college,0.0,1.0,0.0
college admission practices,0.0,1.0,0.0
college campuses,0.0,1.0,0.0
college not free,0.0,1.0,0.0
college students,0.0,1.0,0.0
colleges,0.0,1.0,0.0417
colorado,0.0,1.0,0.0952
drilling,0.0,1.0,0.0476
drive,0.0,1.0,0.0
drug addicts,0.0,1.0,0.0
dual citizenship,0.0,1.0,0.0
early motherhood,0.0,1.0,0.0
economic disparity,0.0,1.0,0.0
economic inequality,0.0,1.0,0.0
economic policy,0.0,1.0,0.0
dependency,0.0,1.0,0.3333
difficulty of getting a job,0.0,1.0,0.0
diplomatic relations,0.0,1.0,0.0
disability awareness,0.0,1.0,0.0
discrimination,0.0,1.0,0.0
diversity,0.0,1.0,0.0
donation refusal,0.0,1.0,0.0
doping,0.0,1.0,0.0
decision making,0.0,1.0,0.0
declaw,0.0,1.0,0.0
declawing cats?,0.0,1.0,0.0
democracies,0.0,1.0,0.0
democracy,0.0,1.0,0.0
democrat,0.0,1.0,0.0
democrat corruption,0.0,1.0,0.0
department of defense,0.0,1.0,0.0
current students' attitudes,0.0,1.0,0.0
curriculum,0.0,1.0,0.0
cyber-predators,0.0,1.0,0.0
cycle,0.0,1.0,0.0
danger,0.0,1.0,0.0
dangers,0.0,1.0,0.0
de-clawing,0.0,1.0,0.0
dealing with difficult countries,0.0,1.0,0.0
european economy,0.0,1.0,0.0
european union,0.0,1.0,0.0
everyone,0.0,1.0,0.0476
evolution,0.0,1.0,0.0
expanding horizons,0.0,1.0,0.0
expense of eating out,0.0,1.0,0.0
experience,0.0,1.0,0.0
exploiting children,0.0,1.0,0.0
employment,0.0,1.0,0.0
employment laws,0.0,1.0,0.0
enough,0.0,1.0,0.0
entitlement,0.0,1.0,0.0
environmental threat,0.0,1.0,0.0
euro,0.0,1.0,0.0
europe,0.0,1.0,0.0
european countries,0.0,1.0,0.0
electric cars,0.0,1.0,0.0
electronic dependency,0.0,1.0,0.0
emigration,0.0,1.0,0.0
employee,0.0,1.0,0.0
employee rights,0.0,1.0,0.0
employer,0.0,1.0,0.0
employmen,0.0,1.0,0.0
economists,0.0,1.0,0.0
economy,0.0,1.0,0.0
education,0.0,1.0,0.0
education innovation,0.0,1.0,0.0
education requirments,0.0,1.0,0.0
educational profit,0.0,1.0,0.0
eduction,0.0,1.0,0.0
election,0.0,1.0,0.0
free tution,0.0,1.0,0.0
free will,0.0,1.0,0.0
freedom of isrealis,0.0,1.0,0.0
frisbee,0.0,1.0,0.0
full automation,0.0,1.0,0.0
gamble,0.0,1.0,0.0
gay rights,0.0,1.0,0.0
genealogy,0.0,1.0,0.0
foreign language classes,0.0,1.0,0.0
foreign lobbying,0.0,1.0,0.0
foreign relations,0.0,1.0,0.0
former colonial powers,0.0,1.0,0.0
fraternities and sororities,0.0,1.0,0.0
fraud,0.0,1.0,0.0
free for everyone,0.0,1.0,0.0
free speech,0.0,1.0,0.0
fees,0.0,1.0,0.0
felons,0.0,1.0,0.0
female intelligence,0.0,1.0,0.0
feminism,0.0,1.0,0.0
financial systems,0.0,1.0,0.0
financing shcools,0.0,1.0,0.0
flat-fee dining,0.0,1.0,0.0
forced displacement,0.0,1.0,0.0
extreme parenting,0.0,1.0,0.0769
fairness,0.0,1.0,0.0
fame,0.0,1.0,0.0
family structure,0.0,1.0,0.0
farm,0.0,1.0,0.0
farms,0.0,1.0,0.0
fast food,0.0,1.0,0.0
fat shaming,0.0,1.0,0.0
high meal prices,0.0,1.0,0.0
high-speed rail,0.0,1.0,0.0
higher education,0.0,1.0,0.0
hijab,0.0,1.0,0.0
hijabs,0.0,1.0,0.0
home schoolers,0.0,1.0,0.0
home-school,0.0,1.0,0.0
home-schoolers,0.0,1.0,0.0145
guns,0.0,1.0,0.0
hamas-fatah unity,0.0,1.0,0.0
happy hour,0.0,1.0,0.0
haute cuisine,0.0,1.0,0.0
healthcare,0.0,1.0,0.0
healthier,0.0,1.0,0.0
healthy cooking,0.0,1.0,0.0
helping condo developers,0.0,1.0,0.0
government support,0.0,1.0,0.0
government taling money from education,0.0,1.0,0.0
grade,0.0,1.0,0.0
grade colleges,0.0,1.0,0.0
grade inflation,0.0,1.0,0.0
greater success,0.0,1.0,0.0
greece,0.0,1.0,0.0
gun control,0.0,1.0,0.0
genetics,0.0,1.0,0.0
gentrification,0.0,1.0,0.0
ghetto,0.0,1.0,0.0
globalization,0.0,1.0,0.0
governemnt,0.0,1.0,0.0
government,0.0,1.0,0.0
government funding,0.0,1.0,0.0
government overspending on infrastructure,0.0,1.0,0.0
importance of special education,0.0,1.0,0.0
improper veganism,0.0,1.0,0.0
in-state collage acceptance,0.0,1.0,0.0
in-state students,0.0,1.0,0.0
incarceration,0.0,1.0,0.0
income,0.0,1.0,0.0
income equality,0.0,1.0,0.0
income inequality,0.0,1.0,0.0
illegal immigration,0.0,1.0,0.0
illegal labor,0.0,1.0,0.0
illegals,0.0,1.0,0.0
immature,0.0,1.0,0.0
immigrant,0.0,1.0,0.1111
immigration,0.0,1.0,0.0308
immigration reform,0.0,1.0,0.0
immunization,0.0,1.0,0.0
human behavior,0.0,1.0,1.0
humane animal husbandry,0.0,1.0,0.0
humanitarian aid,0.0,1.0,0.0
humanities programs,0.0,1.0,0.05
hypocrisy,0.0,1.0,0.0
hypocrite,0.0,1.0,0.0
hypothecation,0.0,1.0,0.0
ignorance,0.0,1.0,0.0
homebirth,0.0,1.0,0.0
homeschool,0.0,1.0,0.0
homeschooling,0.0,1.0,0.0
homeshooling,0.0,1.0,0.0
homosexual,0.0,1.0,0.0
hospital births,0.0,1.0,0.0
hostility,0.0,1.0,0.0
housing affordability,0.0,1.0,0.0
israeli-palestinian conflict,0.0,1.0,0.0
isreal,0.0,1.0,0.0
it doesn't mention college,0.0,1.0,0.0
japanese attendance,0.0,1.0,0.0
jerusalem,0.0,1.0,0.0
judaism,0.0,1.0,0.0
judge,0.0,1.0,0.0
judging obese people,0.0,1.0,0.0
involved parenting,0.0,1.0,0.0
iran war strategy,0.0,1.0,0.3333
is real,0.0,1.0,0.0
isis,0.0,1.0,0.0
islamic laws,0.0,1.0,0.0
islamist,0.0,1.0,0.0
israel,0.0,1.0,0.0
israeli national boundaries,0.0,1.0,0.0
international trade,0.0,1.0,0.0
internet addiction,0.0,1.0,0.0
internet anonymity,0.0,1.0,0.0
internet gambling,0.0,1.0,0.0
internet learning,0.0,1.0,0.0
internship,0.0,1.0,0.0
introvert,0.0,1.0,0.0
investment banking,0.0,1.0,0.0
increasing sports difficulty,0.0,1.0,0.0
individuality,0.0,1.0,0.0
injustice,0.0,1.0,0.0
intelligence,0.0,1.0,0.0
interfering with the middle east,0.0,1.0,0.0
international adoption,0.0,1.0,0.0
international relations,0.0,1.0,0.0
international support for israel,0.0,1.0,0.0
malthusianism,0.0,1.0,0.0
management,0.0,1.0,0.0
mandatory for all children,0.0,1.0,0.0
mandatory in college,0.0,1.0,0.0
mandatory vaccinations,0.0,1.0,0.0
manual labor,0.0,1.0,0.0
manufacture,0.0,1.0,0.0
marijuana,0.0,1.0,0.0238
librairans,0.0,1.0,0.0
librarian,0.0,1.0,0.0
lockdown in new york state,0.0,1.0,0.0706
lucid dreaming,0.0,1.0,0.0
machine,0.0,1.0,0.0
machines,0.0,1.0,0.0
making yourself happy,0.0,1.0,0.0
male rights,0.0,1.0,0.0
laborer,0.0,1.0,0.0
labour,0.0,1.0,0.0
language,0.0,1.0,0.0
legalization of marijuanua,0.0,1.0,0.0
legalized prostitution,0.0,1.0,0.0
legislation,0.0,1.0,0.0
libarians,0.0,1.0,0.0
libaries,0.0,1.0,0.0
justice,0.0,1.0,0.0
justice ginsberg,0.0,1.0,0.0
justice inequality,0.0,1.0,0.0
k-12 eduction,0.0,1.0,0.0
kid,0.0,1.0,0.0
kids,0.0,1.0,0.0
kids at home,0.0,1.0,0.0
kids performance,0.0,1.0,0.3333
mobile devices,0.0,1.0,0.0
modern liberalism,0.0,1.0,0.0
modern men,0.0,1.0,0.0
modern parenting,0.0,1.0,0.3333
monarchs,0.0,1.0,0.0
money,0.0,1.0,0.0
more advice,0.0,1.0,0.0
more harm,0.0,1.0,0.0
mideast peace,0.0,1.0,0.0
migrant,0.0,1.0,0.0
military intervention(s),0.0,1.0,0.0
minimum wage,0.0,1.0,0.0
minor violations,0.0,1.0,0.0
misdiagnosis by doctors,0.0,1.0,0.0
misinformation,0.0,1.0,0.0
miss america,0.0,1.0,0.0
medical surgery,0.0,1.0,0.0
medical websites,0.0,1.0,0.0196
medicare,0.0,1.0,0.0
medicine,0.0,1.0,0.0
men,0.0,1.0,0.0
merger of disney and fox,0.0,1.0,0.0
middle east,0.0,1.0,0.0
middle eastern conflicts,0.0,1.0,0.0
marraige,0.0,1.0,0.0
marriage,0.0,1.0,0.0
masculinity,0.0,1.0,0.0
mass arms deals,0.0,1.0,0.0
matter in an election,0.0,1.0,0.0
meat eaters,0.0,1.0,0.0
medical care,0.0,1.0,0.0303
medical profession,0.0,1.0,0.0
non-profit,0.0,1.0,0.0
noncompete deals,0.0,1.0,0.0
none,0.0,1.0,0.0
nonmbers,0.0,1.0,0.0
nonprofit status,0.0,1.0,0.0667
not correcting someone's spelling,0.0,1.0,0.0
not speaking out,0.0,1.0,0.0
not vaccinating,0.0,1.0,0.0
new york 's bike lanes,0.0,1.0,0.0
news,0.0,1.0,0.0
newspapers,0.0,1.0,0.0
"no , the laws",0.0,1.0,0.0
no-tipping,0.0,1.0,0.0
non-compete agreement,0.0,1.0,0.0
non-compete agreements,0.0,1.0,0.0
non-muslims,0.0,1.0,0.0
national security,0.0,1.0,0.0
national sovereignty,0.0,1.0,0.0
nations,0.0,1.0,0.0
nato,0.0,1.0,0.0
netanyahu,0.0,1.0,0.0
new deal,0.0,1.0,0.0667
new employees,0.0,1.0,0.0
mossoff's lack of candidness,0.0,1.0,0.0
mother teresa,0.0,1.0,0.0
motherhood,0.0,1.0,0.0
multi lingual,0.0,1.0,0.0
multi-citizenship,0.0,1.0,0.0
multilingual,0.0,1.0,0.0
multilingualism,0.0,1.0,0.0
musicians,0.0,1.0,0.0
palestinian settlements,0.0,1.0,0.0
palistine,0.0,1.0,0.0
parent,0.0,1.0,0.0
parent's and other's religious beliefs,0.0,1.0,0.0
parental expectations,0.0,1.0,0.0
parental responsibility,0.0,1.0,0.0
parental rights,0.0,1.0,0.0
parental support in education,0.0,1.0,0.0
overcrowded national parks,0.0,1.0,0.0
overcrowding,0.0,1.0,0.0
overpopulation,0.0,1.0,0.0
overpriced flights for experience,0.0,1.0,0.0
oversight of internet addresses,0.0,1.0,0.0
oympics,0.0,1.0,0.0
palestine,0.0,1.0,0.0
palestine-israel conflict,0.0,1.0,0.0
online medical information,0.0,1.0,0.0
opinion piece,0.0,1.0,0.0
opinions on religion,0.0,1.0,0.0
opiod treatment,0.0,1.0,0.0
opiods,0.0,1.0,0.0
organic food,0.0,1.0,0.0
outsource,0.0,1.0,0.0
overcrowd,0.0,1.0,0.0
nuclear power,0.0,1.0,0.0
nuclear weapons,0.0,1.0,0.0
obamacare,0.0,1.0,0.0026
obesity,0.0,1.0,0.0
office layout,0.0,1.0,0.0
olympics,0.0,1.0,0.0
olympics location,0.0,1.0,0.0
online classes,0.0,1.0,0.0
privacy,0.0,1.0,0.0
privatization,0.0,1.0,0.0
problems with visa,0.0,1.0,0.0
productivity,0.0,1.0,0.0
professor,0.0,1.0,0.0
profile,0.0,1.0,0.0
prohibition,0.0,1.0,0.0
promotion,0.0,1.0,0.0
pollution,0.0,1.0,0.0
population,0.0,1.0,0.0
populism,0.0,1.0,0.0
pot,0.0,1.0,0.0
pre-school,0.0,1.0,0.2
pregnancy,0.0,1.0,0.0
presentism,0.0,1.0,0.0
president,0.0,1.0,0.0
police,0.0,1.0,0.0
police officers,0.0,1.0,0.0
police shootings,0.0,1.0,0.0
political correctness,0.0,1.0,0.0
political opinions,0.0,1.0,0.0
politician,0.0,1.0,0.0
pollings,0.0,1.0,0.0
parents,0.0,1.0,0.0
parents ' religious beliefs,0.0,1.0,0.0
partisan judges,0.0,1.0,0.0
patriotism,0.0,1.0,0.0
paying for college,0.0,1.0,0.0
paying gratuities,0.0,1.0,0.0
people,0.0,1.0,0.0
pet,0.0,1.0,0.0
religion conflicts,0.0,1.0,0.0
religion in education,0.0,1.0,0.0
religion in science,0.0,1.0,0.0
renewable energy,0.0,1.0,0.0
reparations,0.0,1.0,0.0
reperations,0.0,1.0,0.0
republicans taking over,0.0,1.0,0.0
residents,0.0,1.0,0.0
rate professors,0.0,1.0,0.0
reality shows,0.0,1.0,0.0
recidivism,0.0,1.0,0.0
refugeees,0.0,1.0,0.0
refugees,0.0,1.0,0.0
regulation/deregulation debate,0.0,1.0,0.0
relationships on the internet.,0.0,1.0,0.0
religion,0.0,1.0,0.0
public preschool,0.0,1.0,0.0
public universities,0.0,1.0,0.0
public workers,0.0,1.0,0.0
publishers,0.0,1.0,0.08
queen elizabeth ii,0.0,1.0,0.0
racial profiling,0.0,1.0,0.0
racism,0.0,1.0,0.0
radical change,0.0,1.0,0.0
proof of identification,0.0,1.0,0.0
proper food preparation,0.0,1.0,0.0
propoganda,0.0,1.0,0.0
prosperity gospel,0.0,1.0,0.0
prostituion,0.0,1.0,0.0
prostituition,0.0,1.0,0.0
prostitution,0.0,1.0,0.0
prozac,0.0,1.0,0.0
segregation in co-ed schools,0.0,1.0,0.0
self-centered,0.0,1.0,0.0
self-control,0.0,1.0,0.0
self-medicate,0.0,1.0,0.0
self-regulation,0.0,1.0,0.0
selling firearms internationally,0.0,1.0,0.0
separate state and religion,0.0,1.0,0.0
sexism,0.0,1.0,0.0
ruth bader ginsberg,0.0,1.0,0.0
ruth bader ginsburg,0.0,1.0,0.0
same-sex colleges,0.0,1.0,0.0476
sanctions,0.0,1.0,0.0
scholorships,0.0,1.0,0.0
school librarians,0.0,1.0,0.0
schoold,0.0,1.0,0.0
season,0.0,1.0,0.0
rich politicans,0.0,1.0,0.0
right,0.0,1.0,0.0
rim,0.0,1.0,0.0
rock and roll hall of fame,0.0,1.0,0.0
rock hall of fame,0.0,1.0,0.0
route to be taken,0.0,1.0,0.0
royal couple,0.0,1.0,0.0
royalty,0.0,1.0,0.0
respect and dignity,0.0,1.0,0.0
responsibile marijuana use,0.0,1.0,0.0
restaurant,0.0,1.0,0.0
restaurants,0.0,1.0,0.0
restricted access,0.0,1.0,0.0
resturants,0.0,1.0,0.0
rgb,0.0,1.0,0.0
rich people,0.0,1.0,0.0
supply and demand,0.0,1.0,0.0
supreme court,0.0,1.0,0.0
swedan,0.0,1.0,0.0
syria,0.0,1.0,0.0
syriaallies,0.0,1.0,0.0833
tall basketball players,0.0,1.0,0.0
tax breaks,0.0,1.0,0.0
taxation,0.0,1.0,0.0
states' rights,0.0,1.0,0.0
states-righters,0.0,1.0,0.0
stereotype,0.0,1.0,0.0
street style,0.0,1.0,0.0
student,0.0,1.0,0.0
students,0.0,1.0,0.0909
subsidation,0.0,1.0,0.0
substitute teachers,0.0,1.0,0.0
sport,0.0,1.0,0.0
sport leagues,0.0,1.0,0.0
sports program in undergraduate schools,0.0,1.0,0.0
stability,0.0,1.0,0.0
standardized testing,0.0,1.0,0.0
standardized tests,0.0,1.0,0.0
state citizenship,0.0,1.0,0.0
states,0.0,1.0,0.0
slavery,0.0,1.0,0.0
soccer,0.0,1.0,0.0
social disorder,0.0,1.0,0.0
social media,0.0,1.0,0.0
socializing without technology,0.0,1.0,0.0
speaking out,0.0,1.0,0.0
special schools,0.0,1.0,0.0
speech,0.0,1.0,0.0
the c.i.a.,0.0,1.0,0.0
the conflict in palestine,0.0,1.0,0.0
the enlightenment,0.0,1.0,0.0
the euro zone,0.0,1.0,0.0
the european union,0.0,1.0,0.0
the expense,0.0,1.0,0.0
the new apps,0.0,1.0,0.0
the rituals of adult life,0.0,1.0,0.0
terrorism,0.0,1.0,0.0
terrorist,0.0,1.0,0.0
tfa,0.0,1.0,0.0
the a.d.h.d. diagnosis,0.0,1.0,0.0
the anti-vaccination movement,0.0,1.0,0.0
the atlantic coast,0.0,1.0,0.0
the bar,0.0,1.0,0.0
the best way,0.0,1.0,0.0
technological advancement,0.0,1.0,0.0
technological innovation,0.0,1.0,0.0
technology,0.0,1.0,0.0
technology for farming,0.0,1.0,0.0
teenagers,0.0,1.0,0.0
telecommuting,0.0,1.0,0.0
tennis strung,0.0,1.0,0.3333
tenure,0.0,1.0,0.0
taxation methods,0.0,1.0,0.0
taxation policy,0.0,1.0,0.0
taxation practices,0.0,1.0,0.0
tayyip erdo������an,0.0,1.0,0.0
teacher,0.0,1.0,0.0
teachers,0.0,1.0,0.1667
teacjers,0.0,1.0,0.0
teching,0.0,1.0,0.2667
workers,0.0,1.0,0.037
working with russia/nato to get freedom,0.0,1.0,0.0
workplace,0.0,1.0,0.0
wv self-regulation,0.0,1.0,0.0
wwii,0.0,1.0,0.0
young people,0.0,1.0,0.0
your cat,0.0,1.0,0.0
a threat,0.0,1.0,0.0
wealthy colleges,0.0,1.0,0.0
weed legallzation,0.0,1.0,0.0
"what defines ""rock & roll?""",0.0,1.0,0.0
willful ignorance,0.0,1.0,0.0
women,0.0,1.0,0.0
women in a relationship,0.0,1.0,0.0
women's universities,0.0,1.0,0.0
worker,0.0,1.0,0.0
vote,0.0,1.0,0.0
voting,0.0,1.0,0.0
voting youth,0.0,1.0,0.0
waiter,0.0,1.0,0.0
wal-mart,0.0,1.0,0.0
walmarts,0.0,1.0,0.0
war,0.0,1.0,0.0
wealth,0.0,1.0,0.0
vaccination,0.0,1.0,0.0
vaccine,0.0,1.0,0.0
veganism,0.0,1.0,0.0
vegetarianism,0.0,1.0,0.0
vegnism,0.0,1.0,0.0
violence in the middle east,0.0,1.0,0.0
volkswagen,0.0,1.0,0.0
volunteerism,0.0,1.0,0.0
america 's fears,0.0,1.0,0.0
american foreign policy,0.0,1.0,0.0
american politics,0.0,1.0,0.0
animal protein,0.0,1.0,0.0
anthropocentricsm,0.0,1.0,0.0
anti vax,0.0,1.0,0.0
anti-vax,0.0,1.0,0.0
appoint,0.0,1.0,0.0
agriculture,0.0,1.0,0.0
airfare prices,0.0,1.0,0.0
airline industry,0.0,1.0,0.0
all immigrants,0.0,1.0,0.0
alternative enegry,0.0,1.0,0.0
alternative energy,0.0,1.0,0.0
amazon,0.0,1.0,0.0
america,0.0,1.0,0.0
addiction,0.0,1.0,0.0
adoption,0.0,1.0,0.0
adults,0.0,1.0,0.0
advertise,0.0,1.0,0.0
advice about eating well,0.0,1.0,0.0
affirmative actions,0.0,1.0,0.1111
african-american,0.0,1.0,0.0
age of childbirth,0.0,1.0,0.0
a useful excercise for college students,0.0,1.0,0.5
a way to sell what was once free,0.0,1.0,0.0833
abrahamic religions,0.0,1.0,0.0
academia,0.0,1.0,0.0
academic,0.0,1.0,0.0
acceptance of everyone,0.0,1.0,0.0
activism,0.0,1.0,0.0
addict treatment funding,0.0,1.0,0.0
elections,0.0,0.9995,0.0117
politics,0.0,0.997,0.1
new york 's,0.0,0.992,0.0333
