Dataset,Tweet,GT Target,GT Stance,Gemini Target,Gemini Stance,LLaMA Target,LLaMA Stance,Qwen Target,Qwen Stance,similar targets,cleaned_tweet
TSE Implicit," Can we get one thing straight. Evolution is fact. A theory in science, is an explanation for observations, and you cannot deny that evolution has taken place over the last millions of years. One thing no-one can say for sure is the driving force behind evolution, it could be down to a supreme deity, but evolution is fact, and it is in no way wrong.",creationism,AGAINST,Evolution,FAVOR,Evolution,FAVOR,evolution,FAVOR,"['Evolution', 'Evolution', 'evolution']","Can we get one thing straight. Evolution is fact. A theory in science, is an explanation for observations, and you cannot deny that evolution has taken place over the last millions of years. One thing no-one can say for sure is the driving force behind evolution, it could be down to a supreme deity, but evolution is fact, and it is in no way wrong."
TSE Implicit," Cementing a definition of marriage as between a man and a woman for tradition's sake is wrong Tradition for tradition's sake is a faulty principle. To say that marriage should be defined as between a man and a woman for tradition's sake is to fall into that trap.
",gay rights,FAVOR,Traditional Marriage,AGAINST,marriage,AGAINST,cementing a definition of marriage,AGAINST,"['Traditional Marriage', 'marriage', 'cementing a definition of marriage']",Cementing a definition of marriage as between a man and a woman for tradition's sake is wrong Tradition for tradition's sake is a faulty principle. To say that marriage should be defined as between a man and a woman for tradition's sake is to fall into that trap.
TSE Implicit," Children do better with mother and father role models - Children benefit from a balance of male and female, differentiated role models. The unique characteristics of men and women are important to impart on children. Same-sex marriage fundamentally undermines this balanced approach to child-rearing.
",gay rights,AGAINST,Same-sex marriage,AGAINST,Same-sex marriage,AGAINST,children,AGAINST,"['Same-sex marriage', 'Same-sex marriage', 'children']","Children do better with mother and father role models - Children benefit from a balance of male and female, differentiated role models. The unique characteristics of men and women are important to impart on children. Same-sex marriage fundamentally undermines this balanced approach to child-rearing."
TSE Implicit," Children do not need distinct male and female parental role-models What children need first is love, compassion, and care from their parents. In addition, children are highly influenced by their social environment as much as their parents, making it unreasonable to place such a high importance on the attributes that parents display. 
",gay rights,FAVOR,Traditional Family Structure,AGAINST,love,FAVOR,children,FAVOR,"['Traditional Family Structure', 'love', 'children']","Children do not need distinct male and female parental role-models What children need first is love, compassion, and care from their parents. In addition, children are highly influenced by their social environment as much as their parents, making it unreasonable to place such a high importance on the attributes that parents display."
TSE Implicit," Children do not need distinct male and female parental role-models What children need first is love, compassion, and care from their parents. In addition, children are highly influenced by their social environment as much as their parents, making it unreasonable to place such a high importance on the attributes that parents display. 
",gay rights,FAVOR,Traditional Family Structure,AGAINST,love,FAVOR,children,FAVOR,"['Traditional Family Structure', 'love', 'children']","Children do not need distinct male and female parental role-models What children need first is love, compassion, and care from their parents. In addition, children are highly influenced by their social environment as much as their parents, making it unreasonable to place such a high importance on the attributes that parents display."
TSE Implicit," Children do not need distinct male and female parental role-models What children need first is love, compassion, and care from their parents. In addition, children are highly influenced by their social environment as much as their parents, making it unreasonable to place such a high importance on the attributes that parents display. 
",gay rights,FAVOR,Traditional Family Structure,AGAINST,parents,NONE,children,FAVOR,"['Traditional Family Structure', 'parents', 'children']","Children do not need distinct male and female parental role-models What children need first is love, compassion, and care from their parents. In addition, children are highly influenced by their social environment as much as their parents, making it unreasonable to place such a high importance on the attributes that parents display."
TSE Implicit," Children do not need distinct male and female parental role-models What children need first is love, compassion, and care from their parents. In addition, children are highly influenced by their social environment as much as their parents, making it unreasonable to place such a high importance on the attributes that parents display. 
",gay rights,FAVOR,Traditional Family Structure,AGAINST,parents,NONE,children,FAVOR,"['Traditional Family Structure', 'parents', 'children']","Children do not need distinct male and female parental role-models What children need first is love, compassion, and care from their parents. In addition, children are highly influenced by their social environment as much as their parents, making it unreasonable to place such a high importance on the attributes that parents display."
TSE Implicit," Children do not need distinct male and female parental role-models What children need first is love, compassion, and care from their parents. In addition, children are highly influenced by their social environment as much as their parents, making it unreasonable to place such a high importance on the attributes that parents display. 
",gay rights,FAVOR,Traditional family structure,AGAINST,love,FAVOR,children,FAVOR,"['Traditional family structure', 'love', 'children']","Children do not need distinct male and female parental role-models What children need first is love, compassion, and care from their parents. In addition, children are highly influenced by their social environment as much as their parents, making it unreasonable to place such a high importance on the attributes that parents display."
TSE Implicit," Children do not need distinct male and female parental role-models What children need first is love, compassion, and care from their parents. In addition, children are highly influenced by their social environment as much as their parents, making it unreasonable to place such a high importance on the attributes that parents display. 
",gay rights,FAVOR,Traditional family structure,AGAINST,love,FAVOR,children,FAVOR,"['Traditional family structure', 'love', 'children']","Children do not need distinct male and female parental role-models What children need first is love, compassion, and care from their parents. In addition, children are highly influenced by their social environment as much as their parents, making it unreasonable to place such a high importance on the attributes that parents display."
TSE Implicit," Children do not need distinct male and female parental role-models What children need first is love, compassion, and care from their parents. In addition, children are highly influenced by their social environment as much as their parents, making it unreasonable to place such a high importance on the attributes that parents display. 
",gay rights,FAVOR,Traditional family structure,AGAINST,parents,NONE,children,FAVOR,"['Traditional family structure', 'parents', 'children']","Children do not need distinct male and female parental role-models What children need first is love, compassion, and care from their parents. In addition, children are highly influenced by their social environment as much as their parents, making it unreasonable to place such a high importance on the attributes that parents display."
TSE Implicit," Children do not need distinct male and female parental role-models What children need first is love, compassion, and care from their parents. In addition, children are highly influenced by their social environment as much as their parents, making it unreasonable to place such a high importance on the attributes that parents display. 
",gay rights,FAVOR,Traditional family structure,AGAINST,parents,NONE,children,FAVOR,"['Traditional family structure', 'parents', 'children']","Children do not need distinct male and female parental role-models What children need first is love, compassion, and care from their parents. In addition, children are highly influenced by their social environment as much as their parents, making it unreasonable to place such a high importance on the attributes that parents display."
TSE Implicit," Children do not need distinct male and female parental role-models What children need first is love, compassion, and care from their parents. In addition, children are highly influenced by their social environment as much as their parents, making it unreasonable to place such a high importance on the attributes that parents display. 
",gay rights,FAVOR,Traditional Family Structure,AGAINST,love,FAVOR,children,FAVOR,"['Traditional Family Structure', 'love', 'children']","Children do not need distinct male and female parental role-models What children need first is love, compassion, and care from their parents. In addition, children are highly influenced by their social environment as much as their parents, making it unreasonable to place such a high importance on the attributes that parents display."
TSE Implicit," Children do not need distinct male and female parental role-models What children need first is love, compassion, and care from their parents. In addition, children are highly influenced by their social environment as much as their parents, making it unreasonable to place such a high importance on the attributes that parents display. 
",gay rights,FAVOR,Traditional Family Structure,AGAINST,love,FAVOR,children,FAVOR,"['Traditional Family Structure', 'love', 'children']","Children do not need distinct male and female parental role-models What children need first is love, compassion, and care from their parents. In addition, children are highly influenced by their social environment as much as their parents, making it unreasonable to place such a high importance on the attributes that parents display."
TSE Implicit," Children do not need distinct male and female parental role-models What children need first is love, compassion, and care from their parents. In addition, children are highly influenced by their social environment as much as their parents, making it unreasonable to place such a high importance on the attributes that parents display. 
",gay rights,FAVOR,Traditional Family Structure,AGAINST,parents,NONE,children,FAVOR,"['Traditional Family Structure', 'parents', 'children']","Children do not need distinct male and female parental role-models What children need first is love, compassion, and care from their parents. In addition, children are highly influenced by their social environment as much as their parents, making it unreasonable to place such a high importance on the attributes that parents display."
TSE Implicit," Children do not need distinct male and female parental role-models What children need first is love, compassion, and care from their parents. In addition, children are highly influenced by their social environment as much as their parents, making it unreasonable to place such a high importance on the attributes that parents display. 
",gay rights,FAVOR,Traditional Family Structure,AGAINST,parents,NONE,children,FAVOR,"['Traditional Family Structure', 'parents', 'children']","Children do not need distinct male and female parental role-models What children need first is love, compassion, and care from their parents. In addition, children are highly influenced by their social environment as much as their parents, making it unreasonable to place such a high importance on the attributes that parents display."
TSE Implicit," Children do not need distinct male and female parental role-models What children need first is love, compassion, and care from their parents. In addition, children are highly influenced by their social environment as much as their parents, making it unreasonable to place such a high importance on the attributes that parents display. 
",gay rights,FAVOR,Traditional family structure,AGAINST,love,FAVOR,children,FAVOR,"['Traditional family structure', 'love', 'children']","Children do not need distinct male and female parental role-models What children need first is love, compassion, and care from their parents. In addition, children are highly influenced by their social environment as much as their parents, making it unreasonable to place such a high importance on the attributes that parents display."
TSE Implicit," Children do not need distinct male and female parental role-models What children need first is love, compassion, and care from their parents. In addition, children are highly influenced by their social environment as much as their parents, making it unreasonable to place such a high importance on the attributes that parents display. 
",gay rights,FAVOR,Traditional family structure,AGAINST,love,FAVOR,children,FAVOR,"['Traditional family structure', 'love', 'children']","Children do not need distinct male and female parental role-models What children need first is love, compassion, and care from their parents. In addition, children are highly influenced by their social environment as much as their parents, making it unreasonable to place such a high importance on the attributes that parents display."
TSE Implicit," Children do not need distinct male and female parental role-models What children need first is love, compassion, and care from their parents. In addition, children are highly influenced by their social environment as much as their parents, making it unreasonable to place such a high importance on the attributes that parents display. 
",gay rights,FAVOR,Traditional family structure,AGAINST,parents,NONE,children,FAVOR,"['Traditional family structure', 'parents', 'children']","Children do not need distinct male and female parental role-models What children need first is love, compassion, and care from their parents. In addition, children are highly influenced by their social environment as much as their parents, making it unreasonable to place such a high importance on the attributes that parents display."
TSE Implicit," Children do not need distinct male and female parental role-models What children need first is love, compassion, and care from their parents. In addition, children are highly influenced by their social environment as much as their parents, making it unreasonable to place such a high importance on the attributes that parents display. 
",gay rights,FAVOR,Traditional family structure,AGAINST,parents,NONE,children,FAVOR,"['Traditional family structure', 'parents', 'children']","Children do not need distinct male and female parental role-models What children need first is love, compassion, and care from their parents. In addition, children are highly influenced by their social environment as much as their parents, making it unreasonable to place such a high importance on the attributes that parents display."
TSE Implicit," Did you really just say that no scientist can support evolution?  The theory of evolution came about from scientific discovery, so your statement makes hardly any sense.",creationism,AGAINST,Theory of Evolution,FAVOR,evolution,FAVOR,Evolution,NONE,"['Theory of Evolution', 'evolution', 'Evolution']","Did you really just say that no scientist can support evolution? The theory of evolution came about from scientific discovery, so your statement makes hardly any sense."
TSE Implicit," Evolution is completely true, Darwin hit the nail right on the head when he defined the theory of evolution and the survival of the fittest understanding. Fossils should be enough proof for everyone to see that evolution is true",creationism,AGAINST,Evolution,FAVOR,evolution,FAVOR,evolution,NONE,"['Evolution', 'evolution', 'evolution']","Evolution is completely true, Darwin hit the nail right on the head when he defined the theory of evolution and the survival of the fittest understanding. Fossils should be enough proof for everyone to see that evolution is true"
TSE Implicit," Evolution is correct. And any Christian trying to claim that it is not, invariably bases their arguments on a single book that cannot be verified.  />   /> And of course ""some"" scientists claim that Evolution is incorrect, but then again some people claim to be able to talk to the dead.",creationism,AGAINST,Christianity,AGAINST,Evolution,FAVOR,Evolution,NONE,"['Christianity', 'Evolution', 'Evolution']","Evolution is correct. And any Christian trying to claim that it is not, invariably bases their arguments on a single book that cannot be verified. And of course some scientists claim that Evolution is incorrect, but then again some people claim to be able to talk to the dead."
TSE Implicit," Evolution is defined in Wikipedia as ""a change in the inherited traits of a population from one generation to the next"". You refer to the scientific model of evolution which is based on biology - can't see why everyone's jumped on the religion bandwagon by assuming that you are talking about Darwin's Theory of Evolution. So no I disagree that ""evolution"" is bad - and if you believe that it is bad why are you using the Internet rather than reverting to the ""unevolved"" practices of our ancestors?",creationism,AGAINST,Unknown,FAVOR,evolution,AGAINST,Evolution,NONE,"['Unknown', 'evolution', 'Evolution']",Evolution is defined in Wikipedia as a change in the inherited traits of a population from one generation to the next . You refer to the scientific model of evolution which is based on biology - can't see why everyone's jumped on the religion bandwagon by assuming that you are talking about Darwin's Theory of Evolution. So no I disagree that evolution is bad - and if you believe that it is bad why are you using the Internet rather than reverting to the unevolved practices of our ancestors?
TSE Implicit," Evolution is just logic.  The individuals with better characteristics survive more often, so they are passed on.  This causes species to change, but not all at once, and because the others are not completely unfit for survival they survive as well.",creationism,AGAINST,Evolution,FAVOR,evolution,FAVOR,Evolution,NONE,"['Evolution', 'evolution', 'Evolution']","Evolution is just logic. The individuals with better characteristics survive more often, so they are passed on. This causes species to change, but not all at once, and because the others are not completely unfit for survival they survive as well."
TSE Implicit," Evolution is simply the genetic change in populations of organisms over successive generations. So are you saying that you are genetically identical to your parents, your grandparents, and your neighbors? Exactly how and why these changes take place is subject to debate I suppose, but to suggest it does not exist is just denying the evidence of genetic diversity you see, with your own eyes, all around you every day.",creationism,AGAINST,Evolution,FAVOR,genetic diversity,NONE,genetic change,NONE,"['Evolution', 'genetic diversity', 'genetic change']","Evolution is simply the genetic change in populations of organisms over successive generations. So are you saying that you are genetically identical to your parents, your grandparents, and your neighbors? Exactly how and why these changes take place is subject to debate I suppose, but to suggest it does not exist is just denying the evidence of genetic diversity you see, with your own eyes, all around you every day."
TSE Implicit," Evolution is the real deal. We have fossil evidence and DNA to strongly back it up. By using forensics, we can determine what happened in the past without having to physically be there. Like a detective. But there is no need to be threatened by Evolution. The theory does not eliminate God or Gods from the picture.",creationism,AGAINST,Evolution,FAVOR,Evolution,FAVOR,Evolution,NONE,"['Evolution', 'Evolution', 'Evolution']","Evolution is the real deal. We have fossil evidence and DNA to strongly back it up. By using forensics, we can determine what happened in the past without having to physically be there. Like a detective. But there is no need to be threatened by Evolution. The theory does not eliminate God or Gods from the picture."
TSE Implicit," Genetic tests have proven that we are very closely related to certain apes- a branch on the same family tree. A proven fact is just that, a fact, and isn't ""wrong.""",creationism,AGAINST,Evolution,FAVOR,genetic tests,FAVOR,apes,NONE,"['Evolution', 'genetic tests', 'apes']","Genetic tests have proven that we are very closely related to certain apes- a branch on the same family tree. A proven fact is just that, a fact, and isn't wrong."
TSE Implicit," Go read ""On the Origin of Species""...  /   /> I need not make a point of my own!",creationism,AGAINST,On the Origin of Species,FAVOR,On the Origin of Species,NONE,On the Origin of Species,NONE,"['On the Origin of Species', 'On the Origin of Species', 'On the Origin of Species']",Go read On the Origin of Species . I need not make a point of my own!
TSE Implicit," Homosexuals do not make good parents because they are not ""differentiated"" role-models - Children benefit from a balance of male and female, differentiated role models. The unique characteristics of men and women are important to impart on children. Same-sex marriage fundamentally undermines this balanced approach to child-rearing.
",gay rights,AGAINST,Same-sex marriage,AGAINST,Same-sex marriage,AGAINST,Homosexuals,AGAINST,"['Same-sex marriage', 'Same-sex marriage', 'Homosexuals']","Homosexuals do not make good parents because they are not differentiated role-models - Children benefit from a balance of male and female, differentiated role models. The unique characteristics of men and women are important to impart on children. Same-sex marriage fundamentally undermines this balanced approach to child-rearing."
TSE Implicit," I agree that it is slowly falling apart. There is no evidence that we come from monkeys which come from worms which come from slime.  />   /> Where are the transitional fossils?  />   /> Common sense also says that the universe is too complex to have come about by chance, and that nothing puts itself together.",creationism,FAVOR,Evolution,AGAINST,transitional fossils,NONE,transitional fossils,AGAINST,"['Evolution', 'transitional fossils', 'transitional fossils']","I agree that it is slowly falling apart. There is no evidence that we come from monkeys which come from worms which come from slime. Where are the transitional fossils? Common sense also says that the universe is too complex to have come about by chance, and that nothing puts itself together."
TSE Implicit," I am a Christian, and I do believe in evolution because there are quite an amount of amazing proofs for it. Evolution does not contradict the idea of God's creation, since the Bible employs metaphorical descriptions and it is very possible that the ""days"" are not actually days, but million of years.",creationism,AGAINST,Evolution,FAVOR,evolution,FAVOR,Evolution,FAVOR,"['Evolution', 'evolution', 'Evolution']","I am a Christian, and I do believe in evolution because there are quite an amount of amazing proofs for it. Evolution does not contradict the idea of God's creation, since the Bible employs metaphorical descriptions and it is very possible that the days are not actually days, but million of years."
TSE Implicit," I believe Evolution is correct, and what's up with this lack of understanding that evolution is a sloooooooow process?   />   /> With the making everything is 6 days (and resting on the seventh) , which conveniently happens to be a week. A week is a man-made structure, created by the babylonians I think.",creationism,AGAINST,Creationism,AGAINST,Evolution,NONE,evolution,FAVOR,"['Creationism', 'Evolution', 'evolution']","I believe Evolution is correct, and what's up with this lack of understanding that evolution is a sloooooooow process? With the making everything is 6 days and resting on the seventh , which conveniently happens to be a week. A week is a man-made structure, created by the babylonians I think."
TSE Implicit," I believe evolution did occur, but GOD created it.  /   />   />   /> AFRAID? HAHAHAHA Have you read any of my other comments? Obv. Not I don't care what people think of me on the internet!",creationism,FAVOR,Evolution,NONE,GOD,FAVOR,GOD,FAVOR,"['Evolution', 'GOD', 'GOD']","I believe evolution did occur, but GOD created it. AFRAID? HAHAHAHA Have you read any of my other comments? Obv. Not I don't care what people think of me on the internet!"
TSE Implicit," I believe in evolution. I also believe in God. So how do I answer the question presented by either side? The evolutionists state that there is unequivocal evidence of life before man. Their right! The evangelical Christians believe in the literal translations of the Bible that God made the heavens and earth in six days. Their right too! How can both be right? My answer is that God's clock is not our clock. Our day is one revolution of the earth, God's day is something much different.",creationism,AGAINST,Reconciliation of Science and Religion,FAVOR,God,NONE,evolution,AGAINST,"['Reconciliation of Science and Religion', 'God', 'evolution']","I believe in evolution. I also believe in God. So how do I answer the question presented by either side? The evolutionists state that there is unequivocal evidence of life before man. Their right! The evangelical Christians believe in the literal translations of the Bible that God made the heavens and earth in six days. Their right too! How can both be right? My answer is that God's clock is not our clock. Our day is one revolution of the earth, God's day is something much different."
TSE Implicit," I believe in evolution; evolution is the mechanism that some species of animals and plants use to adapt to certain circumstances do to the change. Because our planet is currently changing, some animals need to adapt to that, if they don't or are incapable then they can become extinct.  And It does exist there are animals who evolve from the dinosaurs age, like aligators, tortules and many others.",creationism,FAVOR,Evolution,FAVOR,evolution,FAVOR,dinosaurs,NONE,"['Evolution', 'evolution', 'dinosaurs']","I believe in evolution evolution is the mechanism that some species of animals and plants use to adapt to certain circumstances do to the change. Because our planet is currently changing, some animals need to adapt to that, if they don't or are incapable then they can become extinct. And It does exist there are animals who evolve from the dinosaurs age, like aligators, tortules and many others."
TSE Implicit," I believe there was some sort of evolution, but the question is what made that evolution take place.  I think some sort of higher being made it take place.",creationism,AGAINST,Evolution,NONE,evolution,NONE,evolution,NONE,"['Evolution', 'evolution', 'evolution']","I believe there was some sort of evolution, but the question is what made that evolution take place. I think some sort of higher being made it take place."
TSE Implicit," I find it relevant to point out that the answers in the ""AGAINST: Evolution Is Wrong"" Column are nearly twice as long as those in the ""FOR: Evolution Is Wrong"". This, despite the fact that nearly the debate is actually very close in terms of numbers on each side.  />   /> I would suggest the reason for this is that those who support Evolution have detailed positions based on numerous supporting FACTS. And those who oppose Evolution have relatively brief positions based on few supporting OPINIONS.",creationism,AGAINST,Evolution,FAVOR,Evolution,FAVOR,Evolution,NONE,"['Evolution', 'Evolution', 'Evolution']","I find it relevant to point out that the answers in the AGAINST Evolution Is Wrong Column are nearly twice as long as those in the FOR Evolution Is Wrong . This, despite the fact that nearly the debate is actually very close in terms of numbers on each side. I would suggest the reason for this is that those who support Evolution have detailed positions based on numerous supporting FACTS. And those who oppose Evolution have relatively brief positions based on few supporting OPINIONS."
TSE Implicit," I have been a Christian most of my life and the ten years I lived outside the community was hell on earth. I liked Ben Steins DVD, EXPELLED, and he said it all for me! I also like the web site WWW.GODINSCIENCE.ORG Gd bless you",creationism,FAVOR,EXPELLED (film),FAVOR,Ben Stein,FAVOR,Ben Stein,FAVOR,"['EXPELLED (film)', 'Ben Stein', 'Ben Stein']","I have been a Christian most of my life and the ten years I lived outside the community was hell on earth. I liked Ben Steins DVD, EXPELLED, and he said it all for me! I also like the web site WWW.GODINSCIENCE.ORG Gd bless you"
TSE Implicit," I interpret the creation story as a metaphor; with Science as HOW God made humans. Humans at the time may have been unable to comprehend the complexities of science, and therefore the Bible had it written the way it does now.   />   /> But hey, take it whatever way you want to. People can't force you into thinking certain ways..",creationism,AGAINST,Creation Story,FAVOR,Creation Story,NONE,creation story,NONE,"['Creation Story', 'Creation Story', 'creation story']","I interpret the creation story as a metaphor with Science as HOW God made humans. Humans at the time may have been unable to comprehend the complexities of science, and therefore the Bible had it written the way it does now. But hey, take it whatever way you want to. People can't force you into thinking certain ways."
TSE Implicit," I really like bananas, so I must've evolved from monkeys :p",creationism,AGAINST,Evolution,NONE,bananas,FAVOR,monkeys,NONE,"['Evolution', 'bananas', 'monkeys']","I really like bananas, so I must've evolved from monkeys p"
TSE Implicit," I think you will find that there is a vast amount of evidence for evolution if you would care to look. In fact, as scientific theories go, evolution stands out as being one of the most supported theories in existence, this is evident since it has fought off decades of scrutiny and is still accepted by biologists today - more so than ever. As i say, take the time to look and you will find. Also, i don't see much evidence being provided by the other camp.",creationism,AGAINST,Evolution,FAVOR,evolution,FAVOR,evolution,NONE,"['Evolution', 'evolution', 'evolution']","I think you will find that there is a vast amount of evidence for evolution if you would care to look. In fact, as scientific theories go, evolution stands out as being one of the most supported theories in existence, this is evident since it has fought off decades of scrutiny and is still accepted by biologists today - more so than ever. As i say, take the time to look and you will find. Also, i don't see much evidence being provided by the other camp."
TSE Implicit," If we weren't continually evolving, most of us  wouldn't be offended by the way the rest are degenerating.   /> When there are people going around beating up the elderly or murdering each other for the price of a six pack, and being rewarded instead of punished, there is no place to go than up.  /> But that might be what has to happen in order for mankind to achieve the next level of understanding.",creationism,AGAINST,Societal Degradation,AGAINST,evolving,NONE,mankind,FAVOR,"['Societal Degradation', 'evolving', 'mankind']","If we weren't continually evolving, most of us wouldn't be offended by the way the rest are degenerating. When there are people going around beating up the elderly or murdering each other for the price of a six pack, and being rewarded instead of punished, there is no place to go than up. But that might be what has to happen in order for mankind to achieve the next level of understanding."
TSE Implicit," In the beginning... Every atheist and evolutionist has a problem with those 3 words.    /   /> Evolution is a religion AGAINST a creator, and their God is ""time"".  />   /> Let there be light over the darkness of ignorance.",creationism,FAVOR,Evolution,AGAINST,creation,FAVOR,atheist,AGAINST,"['Evolution', 'creation', 'atheist']","In the beginning. Every atheist and evolutionist has a problem with those 3 words. Evolution is a religion AGAINST a creator, and their God is time . Let there be light over the darkness of ignorance."
TSE Implicit," It's impossible to argue with you people. I don't even know why i bother. Creationists not only do not attempt to learn anything about science, they resist learning about science. Every primate has evolved over the years. We were just the one's that managed to become sentient and intelligent.",creationism,AGAINST,Creationists,AGAINST,Creationists,AGAINST,creationist,AGAINST,"['Creationists', 'Creationists', 'creationist']","It's impossible to argue with you people. I don't even know why i bother. Creationists not only do not attempt to learn anything about science, they resist learning about science. Every primate has evolved over the years. We were just the one's that managed to become sentient and intelligent."
TSE Implicit," It's not falling apart its evolving as new data arrives. Thatâs what logical people do in the face of new information. What would be really ridiculous is to take one set of ideas invented by a bunch of superstitious tribesmen 2000 years ago and refuse to credit any new thoughts, philosophies, or sciences developed since.",creationism,AGAINST,Religion,AGAINST,the face of new information,FAVOR,superstitious tribesmen,AGAINST,"['Religion', 'the face of new information', 'superstitious tribesmen']","It's not falling apart its evolving as new data arrives. Thatâ s what logical people do in the face of new information. What would be really ridiculous is to take one set of ideas invented by a bunch of superstitious tribesmen 2000 years ago and refuse to credit any new thoughts, philosophies, or sciences developed since."
TSE Implicit," Just judging from the question, obviously the OP hasn't got even a high school understanding of what evolution is.  It's no wonder that you people don't get it, you're uneducated.",creationism,AGAINST,Evolution,AGAINST,evolution,AGAINST,evolution,NONE,"['Evolution', 'evolution', 'evolution']","Just judging from the question, obviously the OP hasn't got even a high school understanding of what evolution is. It's no wonder that you people don't get it, you're uneducated."
TSE Implicit," Just out of curiosity, without creation, where did evolution begin?",creationism,FAVOR,Evolution,AGAINST,evolution,FAVOR,creation,NONE,"['Evolution', 'evolution', 'creation']","Just out of curiosity, without creation, where did evolution begin?"
